"","x"
"1972",0.0672685985358137
"1973",0.0642782322930502
"1974",0.0274295352515693
"1975",0.0478450764495029
"1976",0.0376483212908886
"1977",0.0282026789075503
"1978",0.0372883174941617
"1980",0.0473228877752865
"1982",0.0958869872211168
"1983",0.0666766866802049
"1984",0.0868911983899675
"1985",0.188962485680865
"1986",0.131813390936071
"1987",0.12182890780815
"1988",0.156681150389997
"1989",0.244844171554984
"1990",0.234959746443273
"1991",0.275134018304433
"1993",0.17354604552276
"1994",0.182587530524427
"1996",0.225689381559835
"1998",0.160259476267074
"2000",0.168703936746897
"2002",0.211253636594443
"2004",0.237568040557022
"2006",0.190369282934485
"2008",0.147681776371215
"2010",0.14232563728789
"2012",0.141818934650084
"2014",0.160778233519491
"2016",0.132942163966016
"2018",0.201003303190331
