"","x"
"1972",0.0701888036809956
"1973",0.0632408653500317
"1974",0.0265515261189527
"1975",0.0376665347511479
"1976",0.0313031750217231
"1977",0.0285208688582842
"1978",0.0420255777775179
"1980",0.052916271632823
"1982",0.0966893482560088
"1983",0.0467597257338741
"1984",0.087178702411155
"1985",0.181143938370448
"1986",0.127100769621383
"1987",0.12279442266087
"1988",0.166207299958805
"1989",0.254176548596503
"1990",0.233637020328183
"1991",0.306021540330693
"1993",0.1629221827095
"1994",0.176659873833097
"1996",0.227024318773378
"1998",0.15420809658903
"2000",0.171780984758607
"2002",0.211418144415446
"2004",0.238442210427762
"2006",0.191531934386546
"2008",0.147174848314957
"2010",0.140747043316503
"2012",0.136406668087206
"2014",0.16051686559519
"2016",0.134841305408801
"2018",0.204137558833027
