"V1","V2","V3","V4","V5"
"proxy","60","0.0231124807395994","0.000998555097123207","1947"
"proxy","61","0.0251256281407035","0.00120824974865291","2786"
"proxy","62","0.0237366003062787","0.000715887213536633","2612"
"hibp","63","0.52345013477089","0.0727697745745308","1855"
"diab","63","0.180223285486443","0.00738176965731691","1881"
"cancr","63","0.12010582010582","-0.000828324714278383","1890"
"lung","63","0.105573419078242","-0.000852367132321648","1866"
"heart","63","0.226688102893891","0.00121459327265451","1866"
"strok","63","0.0549040511727079","0.000663224194319774","1876"
"psych","63","0.149245689655172","0.00126936453969338","1856"
"arthr","63","0.599352051835853","0.0514673983835118","1852"
"proxy","63","0.0225700764470331","0.000560034116711196","2747"
"dead","63","0.0589225589225589","0.000394061631026225","1188"
"hibp","64","0.590633699033896","0.0503305833423058","6107"
"diab","64","0.216290767483368","0.00671027330198502","6163"
"cancr","64","0.135467183963789","0.0002730217249291","6186"
"lung","64","0.113170731707317","0.000555013144886178","6150"
"heart","64","0.232096354166667","0.00127943658198098","6144"
"strok","64","0.0576111652061019","0.000691408868990772","6162"
"psych","64","0.168469354310062","0.00604470262776478","6102"
"arthr","64","0.638838773167131","0.0363243626839987","6097"
"proxy","64","0.0169967880085653","0.000427881874745424","7472"
"dead","64","0.0915032679738562","-4.15902103254052e-05","2295"
"hibp","65","0.60207468879668","0.0390179601610094","9640"
"diab","65","0.224554903776886","0.00762178816720259","9717"
"cancr","65","0.144117345368756","0.000409153115151237","9749"
"lung","65","0.115753636645002","0.000203999693101707","9693"
"heart","65","0.241660642362904","0.00206915284675576","9683"
"strok","65","0.05820649938297","0.000788875289812585","9724"
"psych","65","0.170508826583593","0.00761700280081887","9630"
"arthr","65","0.655125805780828","0.0307554164396176","9618"
"proxy","65","0.0171859126312225","0.000517336686138608","11812"
"dead","65","0.104353011329756","8.72885623025095e-05","3354"
"hibp","66","0.61799673634315","0.0350387197566626","12869"
"diab","66","0.233297330658849","0.00758318951364293","12962"
"cancr","66","0.148820047659313","0.000245447703896288","13009"
"lung","66","0.117987946221604","0.000400747269039304","12942"
"heart","66","0.248317475052216","0.00357931771824914","12927"
"strok","66","0.0579207157180318","0.000659644765337892","12966"
"psych","66","0.171757208362478","0.00788641873205429","12867"
"arthr","66","0.6671337381286","0.0269484776525034","12846"
"proxy","66","0.0169566313666162","0.000637943630366336","15864"
"dead","66","0.116686390532544","0.000256056870669752","4225"
"hibp","67","0.620283779425992","0.0327007728774793","12404"
"diab","67","0.2354023356263","0.00882446025601102","12502"
"cancr","67","0.155373086734694","0.00044980455696324","12544"
"lung","67","0.121683366733467","0.000114159374600101","12475"
"heart","67","0.263115610187194","0.00355827068565444","12447"
"strok","67","0.0589224241453847","0.000512522755168435","12491"
"psych","67","0.16509623902714","0.0080723523185614","12417"
"arthr","67","0.67472509702458","0.0236754589718178","12368"
"proxy","67","0.0178147268408551","0.000575762531579999","15156"
"dead","67","0.115114646700983","0.000487139227515446","4274"
"hibp","68","0.631795119594105","0.0272887255556973","12417"
"diab","68","0.239638342134742","0.00841457577738606","12498"
"cancr","68","0.162590615789054","0.000811492718168148","12553"
"lung","68","0.125010010410827","0.000266660681738647","12487"
"heart","68","0.271785398763152","0.00584364321058663","12451"
"strok","68","0.0623848802754865","0.000559795443437306","12487"
"psych","68","0.160386473429952","0.00753619690904676","12420"
"arthr","68","0.682564061110662","0.0223095626871289","12371"
"proxy","68","0.0175972479491929","0.000501103302237507","15116"
"dead","68","0.11939284096058","0.000807838306549469","4414"
"hibp","69","0.633666612030815","0.0269530394937307","12202"
"diab","69","0.237866449511401","0.00840821037938476","12280"
"cancr","69","0.169139706478553","0.00112910776094197","12333"
"lung","69","0.12494909179767","0.000253705906458742","12277"
"heart","69","0.284229478680743","0.00677314863415334","12219"
"strok","69","0.0661884577763287","0.000367111395584443","12268"
"psych","69","0.154784316935418","0.00704490027755264","12217"
"arthr","69","0.68689280421538","0.0207387313764173","12146"
"proxy","69","0.0199138858988159","0.000397006097822355","14864"
"dead","69","0.117342536669543","0.000923655494190281","4636"
"hibp","70","0.647823582654489","0.0203576611591856","12153"
"diab","70","0.240383041414307","0.0075109494894597","12218"
"cancr","70","0.177989573150863","0.00117395514346068","12276"
"lung","70","0.123527486910995","0.000260444468650216","12224"
"heart","70","0.290906100970235","0.00851031012509049","12162"
"strok","70","0.069786468133846","0.000444010168062339","12223"
"psych","70","0.15274580730023","0.00733001620639215","12164"
"arthr","70","0.694845360824742","0.0204568007353973","12125"
"proxy","70","0.0203877005347594","0.0002229220737163","14960"
"dead","70","0.12316715542522","0.000877524426519916","4774"
"hibp","71","0.647888506422635","0.0183628303377492","11911"
"diab","71","0.237665915351866","0.00739099364704558","11979"
"cancr","71","0.180987202925046","0.00126951108147743","12034"
"lung","71","0.12179861516643","0.000245664284314516","11987"
"heart","71","0.299276824756139","0.00883444823500957","11892"
"strok","71","0.0752086811352254","0.000587894812652034","11980"
"psych","71","0.143372180766328","0.00595697039046634","11927"
"arthr","71","0.695813014965529","0.0204843588698651","11894"
"proxy","71","0.0213950368879946","0.000200593112675652","14910"
"dead","71","0.125410628019324","0.000558464817439171","5175"
"hibp","72","0.65855106888361","0.0191645002312742","11788"
"diab","72","0.242449805972667","0.00721884593076524","11854"
"cancr","72","0.186628590626575","0.00210162070818994","11906"
"lung","72","0.12407157326131","0.000265073725832254","11848"
"heart","72","0.306722331089716","0.00925089426388539","11737"
"strok","72","0.0767479126254533","0.000549196010523775","11857"
"psych","72","0.143365832980076","0.00564615156338234","11795"
"arthr","72","0.698563780062888","0.0189276819649016","11767"
"proxy","72","0.0224876551448018","0.000166597826184689","14986"
"dead","72","0.12665577935039","0.000563242129618299","5511"
"hibp","73","0.656128530707437","0.0194049164019674","11577"
"diab","73","0.238953238953239","0.00733304166214844","11655"
"cancr","73","0.190716361771243","0.0026790658626204","11698"
"lung","73","0.126352860333276","7.47921825140301e-05","11642"
"heart","73","0.318616374065705","0.0104783954209356","11506"
"strok","73","0.0827959762703121","0.000557277978206202","11631"
"psych","73","0.138963167428621","0.00441782576543331","11593"
"arthr","73","0.704618317303527","0.017393889822755","11541"
"proxy","73","0.0245505768714784","0.000215394557271972","14908"
"dead","73","0.124648702264837","0.000845122359945792","6049"
"hibp","74","0.664026640266403","0.0186607802053129","11111"
"diab","74","0.238934096396316","0.00758101672069155","11183"
"cancr","74","0.199429691677063","0.00325444560710308","11222"
"lung","74","0.128248790105754","0.000417011057519837","11158"
"heart","74","0.327050294517444","0.0127271392792374","11035"
"strok","74","0.0827276805742485","0.000436532763527322","11145"
"psych","74","0.140354030011681","0.00520552338320825","11129"
"arthr","74","0.709067896211916","0.0128417718110151","11061"
"proxy","74","0.027441989717938","0.000134887014589066","14394"
"dead","74","0.12354274611399","0.00072656667112169","6176"
"hibp","75","0.664527253568349","0.0189757973691494","10439"
"diab","75","0.230893536121673","0.00665097753074944","10520"
"cancr","75","0.206517620310724","0.00372400367598678","10556"
"lung","75","0.129557353641123","0.000411519473346437","10505"
"heart","75","0.336514362830152","0.014570007224963","10374"
"strok","75","0.0899971338492405","0.000536762634293325","10467"
"psych","75","0.136806883365201","0.00391439710155706","10460"
"arthr","75","0.717128027681661","0.0122858556628798","10404"
"proxy","75","0.0299868670655188","6.50129292208071e-05","13706"
"dead","75","0.129335030225899","0.00073664409334753","6286"
"hibp","76","0.669209359859808","0.0155174912707887","9701"
"diab","76","0.232455691015265","0.00593565733226445","9761"
"cancr","76","0.215414415332858","0.00477773632546696","9809"
"lung","76","0.132061929662668","0.000717936650394228","9753"
"heart","76","0.346022196867545","0.0192646848333551","9641"
"strok","76","0.0931836902800659","0.000346140756255587","9712"
"psych","76","0.13716814159292","0.00456843689332096","9718"
"arthr","76","0.720215298623331","0.00950829267732107","9661"
"proxy","76","0.0320304017372421","0.000100864436588235","12894"
"dead","76","0.129310344827586","0.000567639594199398","6148"
"hibp","77","0.67039911308204","0.013630692458507","9020"
"diab","77","0.225349016159173","0.00500855855328874","9097"
"cancr","77","0.218777388255916","0.00551563085185485","9128"
"lung","77","0.13181367690783","0.000393269276123264","9081"
"heart","77","0.357946319189219","0.0250217016354168","8979"
"strok","77","0.098474801061008","0.000355627317487705","9048"
"psych","77","0.139807543413339","0.00375243583324589","9041"
"arthr","77","0.730337078651685","0.00942175494371161","8989"
"proxy","77","0.0338676531031648","8.86562965179333e-05","12165"
"dead","77","0.128459785086291","0.000522255491630801","6142"
"hibp","78","0.672759856630824","0.0129651863183122","8370"
"diab","78","0.224460772694951","0.00571155195132704","8438"
"cancr","78","0.226092089728453","0.00624764254693439","8470"
"lung","78","0.128339071589695","0.000223820045493351","8423"
"heart","78","0.373277411623727","0.0257247841600289","8345"
"strok","78","0.100619933237959","0.000363075647308025","8388"
"psych","78","0.135135135135135","0.00494778478724716","8399"
"arthr","78","0.731115647892398","0.0082588994397563","8327"
"proxy","78","0.0341188884980654","0.000127853409618527","11372"
"dead","78","0.129660452729694","0.000299222161782908","6008"
"hibp","79","0.675661582583757","0.0140784302503248","7671"
"diab","79","0.213040671400904","0.00501429101883621","7745"
"cancr","79","0.227571115973742","0.00513820365036148","7769"
"lung","79","0.119352750809061","0.000378096072377882","7725"
"heart","79","0.375964430495619","0.0246325313260744","7647"
"strok","79","0.101714731098987","0.000275143815245548","7698"
"psych","79","0.13487525987526","0.00474271300363369","7696"
"arthr","79","0.734014675052411","0.0103422257423093","7632"
"proxy","79","0.0362483437440848","9.17948540376037e-05","10566"
"dead","79","0.14431586113002","0.000868848630656235","5876"
"hibp","80","0.678193769648471","0.0111221493295702","6998"
"diab","80","0.214760356284462","0.00577973694298078","7073"
"cancr","80","0.229957805907173","0.0061080212420289","7110"
"lung","80","0.117081447963801","0.000614794258605302","7072"
"heart","80","0.39015314154859","0.0298435280627286","6987"
"strok","80","0.105076069955922","0.000141971451848752","7033"
"psych","80","0.13149673388242","0.0054575541802163","7042"
"arthr","80","0.735521788990826","0.0111477944803762","6976"
"proxy","80","0.040532241555783","0.000129295647241516","9770"
"dead","80","0.152131611533699","0.00151443995180647","5653"
"hibp","81","0.676336118555888","0.0101313972358117","6343"
"diab","81","0.201744820065431","0.00361118791111813","6419"
"cancr","81","0.22941907424666","0.00362990797662731","6438"
"lung","81","0.116536661466459","0.000701462439111942","6410"
"heart","81","0.390822784810127","0.0252415750697953","6320"
"strok","81","0.106666666666667","0.000112177053473797","6375"
"psych","81","0.13517761710154","0.00482898915341335","6362"
"arthr","81","0.7389513701885","0.0112970299909698","6313"
"proxy","81","0.0474553719924604","0.000158600881869883","9019"
"dead","81","0.158866544789762","0.00198987169019476","5470"
"hibp","82","0.676444756718777","0.00981801552742938","5693"
"diab","82","0.201699618453","0.0032026602182901","5766"
"cancr","82","0.231926668972674","0.00563017487592279","5782"
"lung","82","0.117023126412798","0.00129500162363385","5751"
"heart","82","0.406062742333451","0.0250335606656161","5674"
"strok","82","0.110897659797415","-0.000166856547717172","5726"
"psych","82","0.133706685334267","0.00453577454955286","5714"
"arthr","82","0.74553492484527","0.0129896609512072","5655"
"proxy","82","0.0563941552952542","0.000301642040639815","8281"
"dead","82","0.163768392891267","0.00182670170029762","5233"
"hibp","83","0.674088669950739","0.0100534787862955","5075"
"diab","83","0.185964912280702","0.00287473109086363","5130"
"cancr","83","0.233794043215885","0.00557602002458585","5137"
"lung","83","0.114000782166601","0.00110082379147318","5114"
"heart","83","0.410948036493455","0.0202712804419567","5042"
"strok","83","0.116594573338576","-0.00031612310376318","5086"
"psych","83","0.128759583251425","0.00335851623475356","5087"
"arthr","83","0.745974955277281","0.0143117553063817","5031"
"proxy","83","0.06377313273865","0.000475165571691867","7511"
"dead","83","0.174721941354904","0.00284853203554676","4945"
"hibp","84","0.675548589341693","0.0145447133572915","4466"
"diab","84","0.188123199645469","0.00315351043163877","4513"
"cancr","84","0.235723771580345","0.00711932236363882","4518"
"lung","84","0.111481975967957","0.00149942519694507","4494"
"heart","84","0.424700835403026","0.0223717670996434","4429"
"strok","84","0.121809225257501","-0.000525839301629402","4466"
"psych","84","0.127370064688824","0.00282030009109892","4483"
"arthr","84","0.752368064952639","0.0121930867950379","4434"
"proxy","84","0.0695639276179175","0.000420321087524261","6742"
"dead","84","0.192274305555556","0.0031666669310494","4608"
"hibp","85","0.679079389707784","0.0169452782576227","3867"
"diab","85","0.171143514965464","0.00273359695312896","3909"
"cancr","85","0.229608795704423","0.00603448169190623","3911"
"lung","85","0.110284688381636","0.000858603026886746","3899"
"heart","85","0.43733681462141","0.0245561011067833","3830"
"strok","85","0.126910126910127","-0.000468956189821981","3861"
"psych","85","0.125032158476975","0.00261940959174812","3887"
"arthr","85","0.747658688865765","0.0117463840213307","3844"
"proxy","85","0.0734947864110326","0.000364567967728832","5946"
"dead","85","0.202586206896552","0.00279518289292517","4176"
"hibp","86","0.683575626353232","0.0148399702974774","3233"
"diab","86","0.175807434491164","0.00187897808650273","3282"
"cancr","86","0.233374008541794","0.00516297448307648","3278"
"lung","86","0.108762254901961","0.000716643316610382","3264"
"heart","86","0.435323383084577","0.0300275232926651","3216"
"strok","86","0.131708821714991","-0.000794443554243088","3242"
"psych","86","0.129646697388633","0.00241823672158012","3255"
"arthr","86","0.751243781094527","0.00923309359435454","3216"
"proxy","86","0.0811850711812235","-3.68323770158635e-05","5198"
"dead","86","0.219558189655172","0.00322833999675545","3712"
"hibp","87","0.685977859778598","0.00725311651935774","2710"
"diab","87","0.16243654822335","0.000632992422006557","2758"
"cancr","87","0.224674384949349","0.00546849614199707","2764"
"lung","87","0.106181818181818","0.000144148142053439","2750"
"heart","87","0.437845813353006","0.0287000125889329","2711"
"strok","87","0.140819312362838","-0.00050777791182979","2734"
"psych","87","0.12144420131291","0.0014043078300528","2742"
"arthr","87","0.753246753246753","0.0135800756386006","2695"
"proxy","87","0.0872170439414115","3.78583116782502e-05","4506"
"dead","87","0.223676202069385","0.000953677834411905","3286"
"hibp","88","0.686382393397524","0.00806392555936203","2181"
"diab","88","0.170622480967309","0.000204076986053834","2233"
"cancr","88","0.227354260089686","0.00603246398879471","2230"
"lung","88","0.103884372177055","-0.00022111071508835","2214"
"heart","88","0.43872437357631","0.032352174795953","2195"
"strok","88","0.143699002719855","-0.000645779835058442","2206"
"psych","88","0.118950701040253","0.000793096714481228","2211"
"arthr","88","0.759063790729693","0.0120412097640729","2179"
"proxy","88","0.0907894736842105","-9.38385879284155e-05","3800"
"dead","88","0.247514204545455","0.00339917367536023","2816"
"hibp","89","0.682071269487751","0.0171771879996289","1796"
"diab","89","0.154639175257732","0.000424546277065636","1843"
"cancr","89","0.212039045553145","0.00846036259841958","1844"
"lung","89","0.0939890710382514","-0.0073681190236356","1830"
"heart","89","0.447951273532669","0.030355827824385","1806"
"strok","89","0.141992294991745","-0.000583539126902034","1817"
"psych","89","0.111719605695509","0.000316979527575864","1826"
"arthr","89","0.752370329057446","0.0120179083454726","1793"
"proxy","89","0.0949564134495641","0.000176257563241368","3212"
"dead","89","0.25563293732077","0.0056380491188301","2441"
"hibp","90","0.671313279530448","0.0235123359689525","1363"
"diab","90","0.151880766501065","0.00197919875405882","1409"
"cancr","90","0.218259629101284","0.00605131602020045","1402"
"lung","90","0.0882352941176471","-0.00110969499986067","1394"
"heart","90","0.447598253275109","0.00512023771667602","1374"
"strok","90","0.143682310469314","-0.00253353975761835","1385"
"psych","90","0.115412186379928","-0.000675413953419794","1395"
"arthr","90","0.756204379562044","0.00412199444802207","1370"
"proxy","90","0.0964368706429125","-0.000137913998961692","2582"
"dead","90","0.288008028098344","0.00908311749021102","1993"
