"V1","V2","V3","V4","V5"
"proxy","60","0.0231481481481481","0.000891116739649565","1944"
"proxy","61","0.0251527128997485","0.00146870284375982","2783"
"proxy","62","0.0237638942123419","0.00113511402976638","2609"
"hibp","63","0.522935779816514","0.0119356642008234","1853"
"diab","63","0.179882916444917","0.00246459520891455","1879"
"cancr","63","0.120233050847458","-0.000848890512483248","1888"
"lung","63","0.10568669527897","0.00191557461701916","1864"
"heart","63","0.226394849785408","0.00213941242370071","1864"
"strok","63","0.0549626467449306","-8.14668883181769e-05","1874"
"psych","63","0.14940668824164","0.00491266861419146","1854"
"arthr","63","0.599459459459459","9.49625515335552e-05","1850"
"proxy","63","0.0225865209471767","0.00178960478591301","2745"
"dead","63","0.0589225589225589","-0.000280316729652591","1188"
"hibp","64","0.590298262864634","0.0054493070038189","6102"
"diab","64","0.216303994803508","0.00301850020091499","6158"
"cancr","64","0.135414981394596","0.00040988463964806","6181"
"lung","64","0.113100081366965","0.00179051125968608","6145"
"heart","64","0.232122495520443","0.000633752566705541","6139"
"strok","64","0.0574955335390612","9.69021755818935e-05","6157"
"psych","64","0.168607511891094","0.00350828611892788","6097"
"arthr","64","0.63903479973736","0.00472342232115064","6092"
"proxy","64","0.0170150053590568","0.000494440904376688","7464"
"dead","64","0.0911072362685266","-0.000196807824732618","2294"
"hibp","65","0.601826863192859","0.00540893048157537","9634"
"diab","65","0.224487694367212","0.00477217846778525","9711"
"cancr","65","0.144103458893565","0.000173363235751814","9743"
"lung","65","0.115722101785899","0.00195399630203301","9687"
"heart","65","0.241500465020151","0.000964142343960968","9677"
"strok","65","0.0581395348837209","0.00023293286026081","9718"
"psych","65","0.170511221945137","0.0023610587605774","9624"
"arthr","65","0.655222638368706","0.0043935135565739","9612"
"proxy","65","0.0172004744958482","0.000421462702078202","11802"
"dead","65","0.104116945107399","-0.000127035111523304","3352"
"hibp","66","0.617788835328876","0.00390233216250632","12862"
"diab","66","0.233269008104979","0.00417790040624612","12955"
"cancr","66","0.148823257960314","0.000372824911268001","13002"
"lung","66","0.117974487823734","0.00183032901762293","12935"
"heart","66","0.248219814241486","0.000607617587166957","12920"
"strok","66","0.0578748360212979","0.000164599926785479","12959"
"psych","66","0.171695178849145","0.00255965443405637","12860"
"arthr","66","0.667341693278293","0.00360691418926775","12839"
"proxy","66","0.0169726796643321","0.000274084279201563","15849"
"dead","66","0.116532449076267","-4.13627152682395e-05","4222"
"hibp","67","0.62013065569804","0.00563247474629071","12399"
"diab","67","0.235336480755381","0.00512689919677675","12497"
"cancr","67","0.155435042666879","0.000233574796716705","12539"
"lung","67","0.121732157177225","0.00197274734097063","12470"
"heart","67","0.262980228259122","0.00103768743141762","12442"
"strok","67","0.0589460195418869","0.000219978346848911","12486"
"psych","67","0.165001611343861","0.00246239397736552","12412"
"arthr","67","0.674836204804659","0.00352028589311875","12363"
"proxy","67","0.0178264888419385","0.000329801450277947","15146"
"dead","67","0.115168539325843","-0.000333413725968328","4272"
"hibp","68","0.631676468218803","0.0043406059754154","12413"
"diab","68","0.23963502481191","0.00408840915420646","12494"
"cancr","68","0.162642441628815","0.000441340687439911","12549"
"lung","68","0.125050068092606","0.00176831919816496","12483"
"heart","68","0.271792399775046","0.000498108000716998","12447"
"strok","68","0.0624048706240487","0.000163677415144809","12483"
"psych","68","0.160357603092784","0.00294842438925448","12416"
"arthr","68","0.68270397024339","0.00406847407965257","12367"
"proxy","68","0.0176088971269694","0.000383724735972772","15106"
"dead","68","0.119247336204942","-0.000271775051927389","4411"
"hibp","69","0.633606557377049","0.00539772438924582","12200"
"diab","69","0.23790519628604","0.00516610170370882","12278"
"cancr","69","0.169167139729138","0.000397067161455208","12331"
"lung","69","0.124969450101833","0.00176341568992018","12275"
"heart","69","0.284276008840141","0.000765178000957332","12217"
"strok","69","0.0661992499592369","0.000193505923664581","12266"
"psych","69","0.154809660253786","0.00343423434245304","12215"
"arthr","69","0.686923583662714","0.00444928500411383","12144"
"proxy","69","0.0199192462987887","0.000480508464790671","14860"
"dead","69","0.117177384548986","-7.9190143151592e-05","4634"
"hibp","70","0.647765615998683","0.00414165118601271","12151"
"diab","70","0.240422396856582","0.00465315820647155","12216"
"cancr","70","0.178018575851393","0.000669422063725741","12274"
"lung","70","0.123547700867289","0.00116931018137758","12222"
"heart","70","0.290953947368421","0.000170161923620824","12160"
"strok","70","0.0697978888797971","7.56901623619477e-05","12221"
"psych","70","0.152770925834567","0.00285684731751247","12162"
"arthr","70","0.694877505567929","0.00274175000235089","12123"
"proxy","70","0.0203945168839853","0.000630895312629588","14955"
"dead","70","0.12300922045264","-8.21787871321486e-05","4772"
"hibp","71","0.647858942065491","0.00424080369022792","11910"
"diab","71","0.237685757221573","0.00469455027511899","11978"
"cancr","71","0.181002243829469","0.000750854895450488","12033"
"lung","71","0.121808776906391","0.0011836624653961","11986"
"heart","71","0.299301993104028","0.000475092172924253","11891"
"strok","71","0.0752149595124802","7.02075074708883e-05","11979"
"psych","71","0.143384202582593","0.00306657371917245","11926"
"arthr","71","0.695787437988733","0.00245010881722593","11893"
"proxy","71","0.0213979071639388","0.000733967501889493","14908"
"dead","71","0.125410628019324","-0.000154634756801901","5175"
"hibp","72","0.658493127439335","0.00260335624300084","11786"
"diab","72","0.242490718866014","0.00469461041574176","11852"
"cancr","72","0.186659946236559","0.000971193161781958","11904"
"lung","72","0.124092520682087","0.00110422273932869","11846"
"heart","72","0.306774605879847","-8.56722997559343e-06","11735"
"strok","72","0.0767608603964572","7.29330010230815e-05","11855"
"psych","72","0.143390146697193","0.00244922807076017","11793"
"arthr","72","0.69851253718657","0.00145889999432573","11765"
"proxy","72","0.0224936590575357","0.000879720240720856","14982"
"dead","72","0.126497277676951","2.36308310532172e-05","5510"
"hibp","73","0.656098825155494","0.00391804614026071","11576"
"diab","73","0.238973742920886","0.00507521777878065","11654"
"cancr","73","0.190732666495683","0.00106913206840441","11697"
"lung","73","0.126363714457521","0.00129161788090594","11641"
"heart","73","0.31864406779661","0.000201029707926178","11505"
"strok","73","0.0828030954428203","0.00011651583840857","11630"
"psych","73","0.138975155279503","0.00299751405177301","11592"
"arthr","73","0.704592720970537","0.00144859869446474","11540"
"proxy","73","0.0245538709244599","0.000658459706202549","14906"
"dead","73","0.124503968253968","-3.98683203154297e-05","6048"
"hibp","74","0.663966153569178","0.00211528113384939","11109"
"diab","74","0.238976835703425","0.00424644500853801","11181"
"cancr","74","0.199465240641711","0.00135530518487483","11220"
"lung","74","0.128271782000717","0.000938229473316717","11156"
"heart","74","0.327109580349859","0.000240712238041958","11033"
"strok","74","0.0827425289419366","3.48026907307596e-05","11143"
"psych","74","0.140379257661544","0.00212987413370758","11127"
"arthr","74","0.709015281671037","0.000913629002514908","11059"
"proxy","74","0.0274477103745396","0.00079431129665808","14391"
"dead","74","0.123400809716599","-0.000172700576945961","6175"
"hibp","75","0.664495114006515","0.00305312466504874","10438"
"diab","75","0.230915486262953","0.00309621487847386","10519"
"cancr","75","0.206537186167693","0.00148503991281727","10555"
"lung","75","0.129569687738005","0.00104039255520536","10504"
"heart","75","0.33654680420322","0.000175130152177075","10373"
"strok","75","0.0900057328492261","1.16078714433322e-05","10466"
"psych","75","0.136819963667655","0.00177747242296645","10459"
"arthr","75","0.717100836297222","0.000862264512656559","10403"
"proxy","75","0.0299890550893834","0.000973320988182686","13705"
"dead","75","0.129335030225899","-0.00013434043599646","6286"
"hibp","76","0.669175257731959","0.00172291606009075","9700"
"diab","76","0.232479508196721","0.00242514070860881","9760"
"cancr","76","0.215436378466558","0.00135297110270339","9808"
"lung","76","0.132075471698113","0.00119648930212312","9752"
"heart","76","0.346058091286307","-0.000237930052828386","9640"
"strok","76","0.0931932859643703","9.11297780261261e-05","9711"
"psych","76","0.137182257898528","0.00155214591648129","9717"
"arthr","76","0.720186335403727","0.000328853134926838","9660"
"proxy","76","0.0320353707725721","0.0011694879811609","12892"
"dead","76","0.129310344827586","-0.000141980124925331","6148"
"hibp","77","0.67039911308204","0.00350155833323436","9020"
"diab","77","0.225349016159173","0.00319269008726257","9097"
"cancr","77","0.218777388255916","0.00161414084766935","9128"
"lung","77","0.13181367690783","0.00102724518182382","9081"
"heart","77","0.357946319189219","0.000548213085729867","8979"
"strok","77","0.098474801061008","0.000156103439976818","9048"
"psych","77","0.139807543413339","0.00222730354167586","9041"
"arthr","77","0.730337078651685","2.78307381838377e-05","8989"
"proxy","77","0.0338704373561328","0.000954230492379784","12164"
"dead","77","0.128459785086291","-0.000139896289937034","6142"
"hibp","78","0.672759856630824","0.00260948077164488","8370"
"diab","78","0.224460772694951","0.00313816269745804","8438"
"cancr","78","0.226092089728453","0.0018811987180589","8470"
"lung","78","0.128339071589695","0.000852262268094755","8423"
"heart","78","0.373277411623727","-0.000380895642589744","8345"
"strok","78","0.100619933237959","0.00013000537047898","8388"
"psych","78","0.135135135135135","0.00276502021099896","8399"
"arthr","78","0.731115647892398","0.000273861458198833","8327"
"proxy","78","0.0341218890159177","0.000741155253434927","11371"
"dead","78","0.129660452729694","-0.000105918938872744","6008"
"hibp","79","0.675661582583757","0.00205313339936345","7671"
"diab","79","0.213040671400904","0.00244192537095173","7745"
"cancr","79","0.227571115973742","0.00292576731380314","7769"
"lung","79","0.119352750809061","0.000343447581458089","7725"
"heart","79","0.375964430495619","-0.000456621648603136","7647"
"strok","79","0.101714731098987","9.13367673558024e-05","7698"
"psych","79","0.13487525987526","0.00241590155419506","7696"
"arthr","79","0.734014675052411","9.7100879600475e-05","7632"
"proxy","79","0.0362517747278751","0.000474258773645242","10565"
"dead","79","0.14431586113002","0.000152441350285368","5876"
"hibp","80","0.678193769648471","0.000835139612233026","6998"
"diab","80","0.214760356284462","0.0024124171859557","7073"
"cancr","80","0.229957805907173","0.00275303657011804","7110"
"lung","80","0.117081447963801","9.1838099681056e-05","7072"
"heart","80","0.39015314154859","-0.000735268534027124","6987"
"strok","80","0.105076069955922","0.000243241350295244","7033"
"psych","80","0.13149673388242","0.00248334177430849","7042"
"arthr","80","0.735521788990826","4.32478287977291e-06","6976"
"proxy","80","0.0405363906234006","0.000494047733772239","9769"
"dead","80","0.152131611533699","0.000122312635102678","5653"
"hibp","81","0.676336118555888","0.000410266944468505","6343"
"diab","81","0.201744820065431","0.00128021766417429","6419"
"cancr","81","0.22941907424666","0.0037784771256193","6438"
"lung","81","0.116536661466459","-6.42521551150811e-05","6410"
"heart","81","0.390822784810127","-4.83282273342076e-05","6320"
"strok","81","0.106666666666667","0.000355303461978183","6375"
"psych","81","0.13517761710154","0.00270630930184303","6362"
"arthr","81","0.7389513701885","-0.000420883405310354","6313"
"proxy","81","0.0474606342869816","0.00061521803243237","9018"
"dead","81","0.158866544789762","-6.87488483956598e-05","5470"
"hibp","82","0.676444756718777","-0.00085240656788194","5693"
"diab","82","0.201699618453","0.00139787985858559","5766"
"cancr","82","0.231926668972674","0.00205631656815838","5782"
"lung","82","0.117023126412798","-8.18136735714256e-05","5751"
"heart","82","0.406062742333451","-0.00113857294559429","5674"
"strok","82","0.110897659797415","0.000233021186204627","5726"
"psych","82","0.133706685334267","0.00216755784437419","5714"
"arthr","82","0.74553492484527","-0.000107493007036317","5655"
"proxy","82","0.0563941552952542","0.000773703098534204","8281"
"dead","82","0.163768392891267","-0.000166473640265468","5233"
"hibp","83","0.674088669950739","-0.000243451326838134","5075"
"diab","83","0.185964912280702","0.000253005491346602","5130"
"cancr","83","0.233794043215885","0.00332883551331317","5137"
"lung","83","0.114000782166601","-0.000195218470906106","5114"
"heart","83","0.410948036493455","-0.00122167109558281","5042"
"strok","83","0.116594573338576","7.5460093203878e-05","5086"
"psych","83","0.128759583251425","0.00171894925567635","5087"
"arthr","83","0.745974955277281","-0.000210000968958868","5031"
"proxy","83","0.06377313273865","0.000895662763156764","7511"
"dead","83","0.174721941354904","-0.000188207797737841","4945"
"hibp","84","0.675548589341693","-0.000687230287333374","4466"
"diab","84","0.188123199645469","0.000535167237567321","4513"
"cancr","84","0.235723771580345","0.00160445565553885","4518"
"lung","84","0.111481975967957","-0.000220098914665618","4494"
"heart","84","0.424700835403026","-0.00183703746751821","4429"
"strok","84","0.121809225257501","-5.4867988834089e-05","4466"
"psych","84","0.127370064688824","0.00136013332358533","4483"
"arthr","84","0.752368064952639","-0.000916810427822588","4434"
"proxy","84","0.0695639276179175","0.000477274619227117","6742"
"dead","84","0.192274305555556","-0.000213644038133575","4608"
"hibp","85","0.679079389707784","-0.000108659166429044","3867"
"diab","85","0.171143514965464","-0.000142906363792465","3909"
"cancr","85","0.229608795704423","0.00307208431901565","3911"
"lung","85","0.110284688381636","-0.000230495349140857","3899"
"heart","85","0.43733681462141","-0.00326514514616258","3830"
