,V1,V2,V3,V4,V5
proxy 60,proxy,60,0.023148148,-0.000497362,1944
proxy 61,proxy,61,0.025152713,4.00E-05,2783
proxy 62,proxy,62,0.023763894,0.000880703,2609
hibp 63,hibp,63,0.52293578,0.029053798,1853
diab 63,diab,63,0.179882916,0.00132355,1879
cancr 63,cancr,63,0.120233051,0.00017469,1888
lung 63,lung,63,0.105686695,-0.000557441,1864
heart 63,heart,63,0.22639485,5.97E-06,1864
strok 63,strok,63,0.054962647,0.002170509,1874
psych 63,psych,63,0.149406688,0.002614577,1854
arthr 63,arthr,63,0.599459459,0.004436625,1850
proxy 63,proxy,63,0.022586521,0.000747132,2745
dead 63,dead,63,0.058922559,-0.000279135,1188
hibp 64,hibp,64,0.590298263,0.011954651,6102
diab 64,diab,64,0.216303995,0.002140679,6158
cancr 64,cancr,64,0.135414981,2.72E-05,6181
lung 64,lung,64,0.113100081,5.63E-05,6145
heart 64,heart,64,0.232122496,0.000540818,6139
strok 64,strok,64,0.057495534,0.001463549,6157
psych 64,psych,64,0.168607512,0.00390605,6097
arthr 64,arthr,64,0.6390348,0.00134085,6092
proxy 64,proxy,64,0.017015005,0.001039098,7464
dead 64,dead,64,0.091107236,0.00158949,2294
hibp 65,hibp,65,0.601826863,0.01073152,9634
diab 65,diab,65,0.224487694,0.003535116,9711
cancr 65,cancr,65,0.144103459,-3.32E-05,9743
lung 65,lung,65,0.115722102,0.000319057,9687
heart 65,heart,65,0.241500465,0.001355568,9677
strok 65,strok,65,0.058139535,0.001464871,9718
psych 65,psych,65,0.170511222,0.004370842,9624
arthr 65,arthr,65,0.655222638,0.002251139,9612
proxy 65,proxy,65,0.017200474,0.000833981,11802
dead 65,dead,65,0.104116945,0.001375351,3352
hibp 66,hibp,66,0.617788835,0.007543969,12862
diab 66,diab,66,0.233269008,0.003188571,12955
cancr 66,cancr,66,0.148823258,-6.76E-05,13002
lung 66,lung,66,0.117974488,0.000244718,12935
heart 66,heart,66,0.248219814,0.000951243,12920
strok 66,strok,66,0.057874836,0.001496948,12959
psych 66,psych,66,0.171695179,0.003784224,12860
arthr 66,arthr,66,0.667341693,0.00118496,12839
proxy 66,proxy,66,0.01697268,0.000686959,15849
dead 66,dead,66,0.116532449,0.002027058,4222
hibp 67,hibp,67,0.620130656,0.004730649,12399
diab 67,diab,67,0.235336481,0.003189354,12497
cancr 67,cancr,67,0.155435043,-5.74E-05,12539
lung 67,lung,67,0.121732157,0.000137151,12470
heart 67,heart,67,0.262980228,0.001105498,12442
strok 67,strok,67,0.05894602,0.001409948,12486
psych 67,psych,67,0.165001611,0.003872511,12412
arthr 67,arthr,67,0.674836205,0.001022544,12363
proxy 67,proxy,67,0.017826489,0.000656464,15146
dead 67,dead,67,0.115168539,0.00121934,4272
hibp 68,hibp,68,0.631676468,0.002767641,12413
diab 68,diab,68,0.239635025,0.003009514,12494
cancr 68,cancr,68,0.162642442,-4.28E-05,12549
lung 68,lung,68,0.125050068,6.22E-05,12483
heart 68,heart,68,0.2717924,0.000860354,12447
strok 68,strok,68,0.062404871,0.001768426,12483
psych 68,psych,68,0.160357603,0.003254312,12416
arthr 68,arthr,68,0.68270397,0.000159249,12367
proxy 68,proxy,68,0.017608897,0.00084522,15106
dead 68,dead,68,0.119247336,0.001086455,4411
hibp 69,hibp,69,0.633606557,0.00230774,12200
diab 69,diab,69,0.237905196,0.002686213,12278
cancr 69,cancr,69,0.16916714,-0.000149219,12331
lung 69,lung,69,0.12496945,0.000121869,12275
heart 69,heart,69,0.284276009,0.00118391,12217
strok 69,strok,69,0.06619925,0.001633757,12266
psych 69,psych,69,0.15480966,0.003337085,12215
arthr 69,arthr,69,0.686923584,0.000459432,12144
proxy 69,proxy,69,0.019919246,0.00131937,14860
dead 69,dead,69,0.117177385,0.001217432,4634
hibp 70,hibp,70,0.647765616,0.002960483,12151
diab 70,diab,70,0.240422397,0.002995414,12216
cancr 70,cancr,70,0.178018576,-7.68E-05,12274
lung 70,lung,70,0.123547701,0.000274483,12222
heart 70,heart,70,0.290953947,0.001004587,12160
strok 70,strok,70,0.069797889,0.001856084,12221
psych 70,psych,70,0.152770926,0.002616777,12162
arthr 70,arthr,70,0.694877506,0.000260107,12123
proxy 70,proxy,70,0.020394517,0.001191747,14955
dead 70,dead,70,0.12300922,0.001358752,4772
hibp 71,hibp,71,0.647858942,0.002802693,11910
diab 71,diab,71,0.237685757,0.002500766,11978
cancr 71,cancr,71,0.181002244,-2.93E-05,12033
lung 71,lung,71,0.121808777,0.000198136,11986
heart 71,heart,71,0.299301993,0.000723163,11891
strok 71,strok,71,0.07521496,0.002101929,11979
psych 71,psych,71,0.143384203,0.002472905,11926
arthr 71,arthr,71,0.695787438,0.000195949,11893
