"","","","","imv",""
"proxy 64","proxy","64","0.0129482071713147","-9.96924867860561e-05","1004"
"hibp 65","hibp","65","0.662228451296426","0.00747674675611608","1427"
"diab 65","diab","65","0.247566063977747","0.00999515549491102","1438"
"cancr 65","cancr","65","0.159248956884562","-0.000956313094614581","1438"
"lung 65","lung","65","0.117564730580826","0.000798529043449805","1429"
"heart 65","heart","65","0.256464011180992","0.0104379593250647","1431"
"strok 65","strok","65","0.0521920668058455","0.000322363663873875","1437"
"psych 65","psych","65","0.199719691660827","0.00593938329975783","1427"
"arthr 65","arthr","65","0.655944055944056","0.00487525362552719","1430"
"proxy 65","proxy","65","0.0112130479102956","-0.000203814318178625","1962"
"hibp 66","hibp","66","0.655967450271248","0.0145951119769429","2212"
"diab 66","diab","66","0.247074707470747","0.00569849316975064","2222"
"cancr 66","cancr","66","0.162926391382406","-0.000923444901690834","2228"
"lung 66","lung","66","0.115627822944896","0.00065580900598823","2214"
"heart 66","heart","66","0.257104194857916","0.007250582284341","2217"
"strok 66","strok","66","0.0503823661718399","0.00033111301166462","2223"
"psych 66","psych","66","0.192481884057971","0.00586145964153226","2208"
"arthr 66","arthr","66","0.669537624660018","0.00517045354609406","2206"
"proxy 66","proxy","66","0.0106595602931379","2.08825026713788e-05","3002"
"hibp 67","hibp","67","0.652135231316726","0.00312126150961667","2248"
"diab 67","diab","67","0.250441696113074","0.00563299949408885","2264"
"cancr 67","cancr","67","0.167989417989418","-6.6933983436117e-05","2268"
"lung 67","lung","67","0.117125110913931","0.00251967570599442","2254"
"heart 67","heart","67","0.259866962305987","0.00647101765991781","2255"
"strok 67","strok","67","0.0504424778761062","0.00133109707412459","2260"
"psych 67","psych","67","0.179144385026738","0.00400544353250944","2244"
"arthr 67","arthr","67","0.68531781557744","0.00445820774664445","2234"
"proxy 67","proxy","67","0.012790306294177","6.2364144845044e-05","2971"
"hibp 68","hibp","68","0.659841203510238","0.00491946541503818","2393"
"diab 68","diab","68","0.252811328613078","0.00833976202320656","2401"
"cancr 68","cancr","68","0.165837479270315","-1.4902383202186e-06","2412"
"lung 68","lung","68","0.12323064113239","0.00301724762410869","2402"
"heart 68","heart","68","0.275948311796582","0.0106325303119844","2399"
"strok 68","strok","68","0.05875","0.00190791287591429","2400"
"psych 68","psych","68","0.160736709920469","0.00315087850736285","2389"
"arthr 68","arthr","68","0.696548821548822","0.00608335861874376","2376"
"proxy 68","proxy","68","0.0126091173617847","5.71602642073511e-05","3093"
"hibp 69","hibp","69","0.675061932287366","0.00604774606096476","2422"
"diab 69","diab","69","0.258833196384552","0.0119288615554515","2434"
"cancr 69","cancr","69","0.173273395995096","9.62447973499304e-05","2447"
"lung 69","lung","69","0.126743232157506","0.00364461316143261","2438"
"heart 69","heart","69","0.292763157894737","0.0119795563168337","2432"
"strok 69","strok","69","0.0645559210526316","0.00348340298720684","2432"
"psych 69","psych","69","0.151340206185567","0.00386774397472665","2425"
"arthr 69","arthr","69","0.697095435684647","0.00680619867089183","2410"
"proxy 69","proxy","69","0.0154938670109748","4.15213337906987e-05","3098"
"hibp 70","hibp","70","0.689833200953137","0.00807453222889444","2518"
"diab 70","diab","70","0.261970716264345","0.0146894688141104","2527"
"cancr 70","cancr","70","0.179779701022817","-0.000331667450321894","2542"
"lung 70","lung","70","0.121989735491512","0.00325017991726955","2533"
"heart 70","heart","70","0.30011862396204","0.00692963086264564","2529"
"strok 70","strok","70","0.0679036715357284","0.00248535602957408","2533"
"psych 70","psych","70","0.152260111022998","0.00531705572442342","2522"
"arthr 70","arthr","70","0.703497615262321","0.00876373041805108","2516"
"proxy 70","proxy","70","0.0141669233138281","-6.57730576144341e-06","3247"
