"","x"
"1994",0.120953803124393
"1995",0.117189362632514
"1996",0.121407092757657
"1997",0.0261094396661816
"1998",0.0119655529235312
"1999",0.175020087432203
"2000",0.135917472518022
"2001",0.106043875032465
"2002",0.233328934012873
"2003",0.212984696069041
"2004",0.105605977530407
"2005",0.11921470138457
"2006",0.154459908273964
"2007",0.120403991738211
"2008",0.26692548428423
"2009",0.25813385572129
"2010",0.182462291067287
"2011",0.0300239549439257
"2012",0.130888480198166
"2013",0.174577925717617
"2014",0.262090497987973
"2015",0.179220663025132
"2016",0.185606758269741
"2017",0.177961035869646
"2018",0.189730969016428
"2019",0.251504048067046
