"","x"
"1994",0.0439654216222821
"1995",0.317441497712874
"1996",0.135013821758698
"1997",0.108367901387685
"1998",0.10666574391297
"1999",0.129816908348807
"2000",0.131410898922185
"2001",0.243894740378165
"2002",0.157838151605942
"2003",0.255715830307914
"2004",0.109413239730525
"2005",0.341539195901062
"2006",0.342360007322751
"2007",0.120221739076461
"2008",0.0903649057338225
"2009",0.269698568042372
"2010",0.301852762063664
"2011",0.13427804717765
"2012",0.172826558442118
"2013",0.107576624957117
"2014",0.159849823862368
"2015",0.176712095554332
"2016",0.398011038574366
"2017",0.246591157596553
"2018",0.242433014615693
"2019",0.0811950558508842
