"","x"
"1994",0.0960820153901134
"1995",0.144436130931224
"1996",0.127046169922486
"1997",0.11666100754087
"1998",0.0885442799639383
"1999",0.16687023415929
"2000",0.110651571841768
"2001",0.132815651517435
"2002",0.145180743424307
"2003",0.168050935244528
"2004",0.143802301487423
"2005",0.150100631054142
"2006",0.170676048156808
"2007",0.116593899093414
"2008",0.141761777106182
"2009",0.187136676956499
"2010",0.186568355622208
"2011",0.158683528513991
"2012",0.173870096448593
"2013",0.207169705132456
"2014",0.158134547224602
"2015",0.209455415367444
"2016",0.201344198762916
"2017",0.243805270442576
"2018",0.210487008957418
"2019",0.187509679534067
