"","z[, 1]"
"1",50
"2",50
"3",50
"4",50
"5",50
"6",50
"7",50
"8",50
"9",50
"10",50
"11",50
"12",50
"13",50
"14",50
"15",50
"16",50
"17",50
"18",50
"19",50
"20",50
"21",50
"22",51
"23",51
"24",51
"25",51
"26",51
"27",51
"28",51
"29",51
"30",51
"31",51
"32",51
"33",51
"34",51
"35",51
"36",51
"37",51
"38",51
"39",51
"40",51
"41",51
"42",51
"43",51
"44",51
"45",51
"46",51
"47",51
"48",51
"49",51
"50",51
"51",51
"52",51
"53",51
"54",51
"55",51
"56",51
"57",51
"58",51
"59",51
"60",51
"61",51
"62",51
"63",51
"64",51
"65",51
"66",51
"67",51
"68",51
"69",51
"70",52
"71",52
"72",52
"73",52
"74",52
"75",52
"76",52
"77",52
"78",52
"79",52
"80",52
"81",52
"82",52
"83",52
"84",52
"85",52
"86",52
"87",52
"88",52
"89",52
"90",52
"91",52
"92",52
"93",52
"94",52
"95",52
"96",52
"97",52
"98",52
"99",52
"100",52
"101",52
"102",52
"103",52
"104",52
"105",52
"106",52
"107",52
"108",52
"109",52
"110",52
"111",52
"112",52
"113",52
"114",52
"115",52
"116",52
"117",52
"118",52
"119",52
"120",52
"121",52
"122",52
"123",52
"124",52
"125",52
"126",53
"127",53
"128",53
"129",53
"130",53
"131",53
"132",53
"133",53
"134",53
"135",53
"136",53
"137",53
"138",53
"139",53
"140",53
"141",53
"142",53
"143",53
"144",53
"145",53
"146",53
"147",53
"148",53
"149",53
"150",53
"151",53
"152",53
"153",53
"154",53
"155",53
"156",53
"157",53
"158",53
"159",53
"160",53
"161",53
"162",53
"163",53
"164",53
"165",53
"166",53
"167",53
"168",53
"169",53
"170",53
"171",53
"172",53
"173",53
"174",53
"175",53
"176",53
"177",53
"178",53
"179",53
"180",53
"181",53
"182",53
"183",53
"184",53
"185",53
"186",53
"187",54
"188",54
"189",54
"190",54
"191",54
"192",54
"193",54
"194",54
"195",54
"196",54
"197",54
"198",54
"199",54
"200",54
"201",54
"202",54
"203",54
"204",54
"205",54
"206",54
"207",54
"208",54
"209",54
"210",54
"211",54
"212",54
"213",54
"214",54
"215",54
"216",54
"217",54
"218",54
"219",54
"220",54
"221",54
"222",54
"223",54
"224",54
"225",54
"226",54
"227",54
"228",54
"229",54
"230",54
"231",54
"232",54
"233",54
"234",54
"235",54
"236",54
"237",54
"238",54
"239",55
"240",55
"241",55
