"","N","b","se","om","om.mean","om.sd"
"0.1 174",102,0.1,0.232613462522233,-0.145025622249475,0.114000518196774,0.135734396363623
"0.1 162",104,0.1,0.192838498469926,0,-0.00719804846723809,0.0227622278647563
"0.1 57",105,0.1,0.206897997648361,0,0.164122296640498,0.244234467109446
"0.1 59",105,0.1,0.20473755416575,0,-0.032991122910508,0.0680414828164054
"0.1 214",105,0.1,0.205978535145951,0,-0.0332986483545035,0.0944999520686763
"0.1 53",108,0.1,0.217945068487997,0,0.0051789603004856,0.0799945800921725
"0.1 80",119,0.1,0.205735095844397,-0.05910941699939,0.0184941718454369,0.172705975660533
"0.1 120",120,0.1,0.171870170773736,-0.00605986604293136,-0.010792228156911,0.0143839374054723
"0.1 133",120,0.1,0.190894662248644,0,0.0793039478646941,0.120941274846791
"0.1 5",127,0.1,0.169879689706216,0,0.0118593673135426,0.0336278560225068
"0.1 124",130,0.1,0.178751732528523,0,0.0214861897058612,0.105686145805921
"0.1 159",130,0.1,0.164521660535068,0.126013911994954,0.0465472811203752,0.11033679798653
"0.1 191",139,0.1,0.168477176184004,0.0862254900044575,0.043859524202913,0.0492087736418518
"0.1 140",140,0.1,0.16721169176338,0,0,0
"0.1 163",140,0.1,0.160288002692892,-0.00996197054666703,-0.0104460565676422,0.0545614738827264
"0.1 178",140,0.1,0.164599347597917,0,-0.0326746192076074,0.0557378032751423
"0.1 7",147,0.1,0.178197590610639,0,0.0392059178501905,0.0706156929064011
"0.1 77",153,0.1,0.16610350699459,-0.086321242245169,0.00531107886758158,0.0826758583103067
"0.1 228",158,0.1,0.172342033373702,0.00274543549766607,0.00844238160135804,0.0396627741244267
"0.1 110",161,0.1,0.160258145474387,0.06681056942849,0.0444319229571634,0.0747075814272404
"0.1 202",166,0.1,0.170100465087465,0,-0.0213693441802524,0.0656137518844369
"0.1 52",169,0.1,0.152486497839771,-0.0485456174266757,-0.00819263109534865,0.0592277188140704
"0.1 1",171,0.1,0.161867114805051,0.00141578398045593,-0.02286756422601,0.0370381065359346
"0.1 158",173,0.1,0.151305832033273,0,0.0770815086725467,0.142397256502684
"0.1 195",174,0.1,0.169904950327042,0,0.00522592961118269,0.0534213788170918
"0.1 173",180,0.1,0.160092876084355,0,0.0253098472076886,0.136988088810396
"0.1 60",188,0.1,0.145061973572343,0.0641620237670208,0.0499507582397633,0.0688213295524087
"0.1 16",207,0.1,0.136020983460626,-0.0282022728869944,0.0272043064337469,0.100807249913174
"0.1 3",236,0.1,0.132711530040985,0,-0.0206307759843541,0.0517360394884303
"0.1 128",244,0.1,0.132757557781432,-0.0239990673705511,0.0409759990914184,0.0699756449500528
"0.1 199",254,0.1,0.12684367305419,0,0.000722458541638808,0.0509591268613885
"0.1 183",266,0.1,0.123041574616119,-0.064814024899581,0.0835876759888968,0.108374504946102
"0.1 121",269,0.1,0.119680706125892,0.0407268612189811,0.00205719835697052,0.06271490281025
"0.1 73",281,0.1,0.123083684616977,0.13763556997819,0.0227742571220736,0.0930129730899061
"0.1 176",323,0.1,0.116467456718565,0.010243447265244,9.96150343860549e-05,0.0109531263786867
"0.1 40",329,0.1,0.116847422140203,0,0.0098041366923496,0.0670051683571048
"0.1 241",332,0.1,0.114633034101748,0,0.0370197153045287,0.0392137395230583
"0.1 38",336,0.1,0.110612016446082,0.0440784414497035,0.0336691718277879,0.0561247449187937
"0.1 88",341,0.1,0.10077371200848,0.0213047798609276,-0.0209244538647244,0.034779375116048
"0.1 76",351,0.1,0.110862496464991,0,0.0256953546922136,0.104424255141361
"0.1 243",353,0.1,0.109678953897977,-0.0316354899144432,0.0569837310213284,0.0784792324709819
"0.1 69",358,0.1,0.102764925062727,0.0749115689566986,0.00593331477732395,0.0187627887710785
"0.1 116",402,0.1,0.0999885387425555,0,0.00223292393150634,0.0496683008835997
"0.1 67",453,0.1,0.0931041488027123,0.0482653474963894,0.041064521223721,0.0551435720629488
"0.1 33",458,0.1,0.090622250537619,0.123460190391154,0.0448800804869268,0.0939425234120791
"0.1 26",471,0.1,0.0933308586361408,0.0355869670653479,-0.0109203708650194,0.0377745435462198
"0.1 151",475,0.1,0.0865114325341702,0.03135297517306,-0.00262876407331139,0.0144984562707531
"0.1 142",512,0.1,0.0868302561202463,0.0724095739528945,0.0466939121342593,0.078191096517304
"0.1 65",517,0.1,0.0901566333746033,0.0468677385303781,0.0700799331091437,0.094297403783195
"0.1 135",555,0.1,0.0878558076396763,0.0394162102793267,0.0433750787517603,0.0613862243515815
"0.1 134",563,0.1,0.0876612577332309,0.0621166674798855,0.0669180664941032,0.0974642707278097
"0.1 126",566,0.1,0.0842037262464369,0,0.00257175189398405,0.0502771658588369
"0.1 94",573,0.1,0.0865911660685251,0.0531721700533103,0.017915795652021,0.0405554577269444
"0.1 249",628,0.1,0.0792945007554954,0,0.00868485579574933,0.0527821959597313
"0.1 212",636,0.1,0.0807364393797852,0.0095230735493432,-0.00970293353002255,0.0250771496598904
"0.1 122",639,0.1,0.0798469824934023,-0.0182432265267335,0.0295805662590094,0.0478422873297081
"0.1 97",651,0.1,0.0785361179347426,0.0035288335981811,-0.0022458670098674,0.018394091199898
"0.1 171",701,0.1,0.0736803220513171,0.0524984403485534,0.0246741162458044,0.0366528878971457
"0.1 44",719,0.1,0.0739405083069036,-0.000444722108803906,-0.00196292595514379,0.0036978220163329
"0.1 233",727,0.1,0.0754032992015299,0.0809982901601594,0.0380216126196074,0.0462748534857214
"0.1 143",729,0.1,0.0806089201720208,0,0.0621149714366895,0.0925281100743535
"0.1 186",740,0.1,0.0755553488035892,0,0.0491203791155028,0.0710808761357062
"0.1 108",796,0.1,0.0679291242558468,0.0535985775687053,0.0347526953674687,0.0610124272355501
"0.1 51",799,0.1,0.0690247122494157,0.0264459810695137,0.0666582170489326,0.0990247558033351
"0.1 71",808,0.1,0.0720046379546598,0,-0.0108455389043603,0.0261682535187368
"0.1 48",820,0.1,0.0691408838853526,0.0198096019401857,-0.00427273583844684,0.0201360622894255
"0.1 31",823,0.1,0.0712886012416625,-0.00603865089173161,0.0320012770517926,0.0460395659287726
"0.1 101",853,0.1,0.0676955837320525,0.0578029252018714,0.0206945879043406,0.0335034056028353
"0.1 224",871,0.1,0.0646286838991767,0.0107045461236096,0.00191445043758235,0.0504972047040336
"0.1 14",915,0.1,0.0659120896282241,0.0536415766570404,0.0363857609319658,0.0407501599478575
"0.1 45",937,0.1,0.0640937947287219,0.0665506621816445,0.0222862904246365,0.0363917873007456
"0.1 175",967,0.1,0.0647502182497245,0.051476988975534,0.0251161127431207,0.0260483514496096
"0.1 185",974,0.1,0.0618864783984969,0,-0.00349077164608055,0.00691831892019208
"0.1 43",1013,0.1,0.0644077774000979,0.0146647417309806,-0.00710875202646194,0.0194295070591159
"0.1 149",1016,0.1,0.0644775951537519,0.0307559754649283,0.014353973247945,0.0222925437061568
"0.1 217",1059,0.1,0.0618692264801505,0,0.00354372835009438,0.00506093177534844
"0.1 197",1062,0.1,0.060806608290396,0.0520607668104345,0.0485562009070011,0.0521458859311699
"0.1 210",1072,0.1,0.0613276475962746,0.0196346666700821,0.000577637873168926,0.01887190778365
"0.1 179",1082,0.1,0.0644837243453304,0,0.0243280370145192,0.0558022147996407
"0.1 83",1090,0.1,0.0614234186048292,0,0.0137180792976642,0.0565911580137684
"0.1 75",1120,0.1,0.0613315227395328,0.0398291424224435,0.0214209127444195,0.0543140865020575
"0.1 50",1132,0.1,0.0612000685171726,0.0680945785271532,0.0362954359915085,0.0894486281044765
"0.1 2",1176,0.1,0.0574627929092561,0.0262574743326616,0.025113826031428,0.0390739612950599
"0.1 193",1245,0.1,0.056797867498604,0.0476327357787469,0.0759858106302762,0.0660124190143906
"0.1 166",1267,0.1,0.0556469790114534,0.0402654430044103,0.0308118543868721,0.0353094544151609
"0.1 81",1419,0.1,0.0524960087275527,-0.0353041325954121,0.0093620924835205,0.0452523768033533
"0.1 107",1511,0.1,0.051606997654013,0,0.0263935944670216,0.0499686108804884
"0.1 90",1516,0.1,0.0513210370694858,0,-0.000329881922368518,0.0401546844737332
"0.1 103",1530,0.1,0.0503210434339391,0,0.0215373136718596,0.0313018339678415
"0.1 56",1537,0.1,0.0502524169047434,0.0386356700413457,0.0290406230093148,0.0315596492623767
"0.1 39",1577,0.1,0.0520628583252685,0,0.096373826452118,0.0709696891023451
"0.1 21",1593,0.1,0.0487730523270757,0.0668175942907086,0.00875935937132127,0.0265713290216788
"0.1 6",1628,0.1,0.0495384511618514,0.0607317530419862,0.0438223183205192,0.0420159522696942
"0.1 4",1630,0.1,0.0491532424463999,0,0.0600346957773911,0.0471916500379531
"0.1 200",1669,0.1,0.0488327720221408,0.0360399264765278,0.00719933879615289,0.0151985666596787
"0.1 206",1669,0.1,0.0496387535679027,0.0574216320647045,0.031157437499774,0.0509710223698365
"0.1 105",1725,0.1,0.0483676655062749,0.0513073419406174,0.0118896911873806,0.0154421805354472
"0.1 36",1729,0.1,0.0483733690377144,0.0494550479060331,0.0310087423493714,0.0404498337497449
"0.1 219",1781,0.1,0.0469574139462009,0.015575093555863,-0.00644948908502373,0.0420459122549194
"0.1 246",1795,0.1,0.0465969414448699,0.00124757557064868,0.000209868514921168,0.00248271389215817
"0.1 111",1811,0.1,0.0485759254614353,0.03204916706313,0.0521685530357685,0.0630319233813028
"0.1 19",1839,0.1,0.0456576216208562,0.0376778774689478,0.034293645118296,0.0512297358351616
"0.1 136",1840,0.1,0.0479481927428813,0.0266211575027742,0.0400772929149826,0.0325673928494969
"0.1 198",1858,0.1,0.0475561010884542,0.0735522713590331,0.0671443221452365,0.0543284662290589
"0.1 66",1931,0.1,0.0445670459642606,0.078482524727713,0.0284608957579564,0.0513696231262697
"0.1 49",1985,0.1,0.0444419371639598,0.0348497644531739,0.0330910416761288,0.0361549280048073
"0.1 18",2023,0.1,0.0444193270916587,0.0486742205172268,-0.00160245816252189,0.0360071885487004
"0.1 20",2059,0.1,0.0445463775085334,0.0592933783683888,0.00941786254003987,0.0396695485293308
"0.1 24",2148,0.1,0.0439815392787667,0.055997959569964,0.0375795228530816,0.0388062047028268
"0.1 221",2226,0.1,0.0416377650197526,0,0.00422773708197703,0.0270313669531515
"0.1 54",2291,0.1,0.0420360728503888,0,0.0680888804845174,0.0711144817841305
"0.1 64",2364,0.1,0.0424305121835242,0.00918656335885875,0.000364705022815276,0.0192683467800754
"0.1 91",2490,0.1,0.039597492449196,-0.00672246940580828,0.0588888004664668,0.0499369641859859
"0.1 230",2628,0.1,0.038774739594475,0.0306463744293448,0.0500255017462195,0.0444202989448565
"0.1 168",2702,0.1,0.0385097596384363,0.0655871255382805,0.0318953990108576,0.0520632561341151
"0.1 170",2751,0.1,0.0384589632677321,0.0547686108857616,0.0204341084177395,0.0326299418568742
"0.1 231",2809,0.1,0.037753167545074,0.0431173536144716,0.0140686845878324,0.034364097210744
"0.1 187",2811,0.1,0.0373069303128609,0.0643216684928534,0.0348199668012175,0.0310560114481074
"0.1 61",3038,0.1,0.0356750257077959,0.0549416296286256,0.0103338467227027,0.0203159506713009
"0.1 10",3128,0.1,0.0357610560845725,0.0608770715019635,0.022131797118477,0.0343688095450786
"0.1 114",3155,0.1,0.0356337199816807,0.0200573289176473,0.0230957745147365,0.0402395353106442
"0.1 127",3180,0.1,0.0350782270938231,0.073152932597448,0.0436249868987526,0.0542084199909148
"0.1 172",3200,0.1,0.0356220840607561,0.076166913447981,0.0399370465807367,0.0321120688781204
"0.1 25",3246,0.1,0.0360383144039987,0.0423212499647154,0.0414728528264294,0.0456161324621452
"0.1 234",3376,0.1,0.0340598715583822,0.0674974619092883,0.0183225774798428,0.0218037697463699
"0.1 239",3430,0.1,0.0338982783583646,0.0397880959783965,0.0275299903284558,0.0365687266856464
"0.1 157",3437,0.1,0.0341917396139232,0.0423157289918832,0.0264843057806525,0.0393194531630901
"0.1 248",3454,0.1,0.0335960624008246,0.0622291484692086,0.0168285306797531,0.0293922503103029
